oiliness,moisture,client_group
0.0,0.0,Group 0
0.0,0.2,Group 0
0.0,0.4,Group 0
0.0,0.6,Group 2
0.0,0.8,Group 2
0.0,1.0,Group 2
0.1,0.1,Group 0
0.1,0.3,Group 0
0.1,0.5,Group 2
0.1,0.7,Group 2
0.1,0.9,Group 2
0.2,0.2,Group 0
0.2,0.4,Group 0
0.2,0.6,Group 2
0.2,0.8,Group 2
0.2,1.0,Group 2
0.3,0.2,Group 0
0.3,0.4,Group 0
0.3,0.5,Group 2
0.3,0.7,Group 2
0.3,0.9,Group 2
0.4,0.25,Group 0
0.4,0.45,Group 0
0.4,0.6,Group 2
0.4,0.8,Group 2
0.4,1.0,Group 2
0.5,0.3,Group 0
0.5,0.5,Group 2
0.5,0.7,Group 2
0.5,0.9,Group 2
0.6,0.1,Group 1
0.6,0.3,Group 1
0.6,0.5,Group 2
0.6,0.7,Group 2
0.6,0.9,Group 2
0.7,0.2,Group 1
0.7,0.4,Group 1
0.7,0.6,Group 2
0.7,0.8,Group 2
0.7,1.0,Group 2
0.8,0.3,Group 1
0.8,0.5,Group 1
0.8,0.7,Group 2
0.8,0.9,Group 2
0.9,0.4,Group 1
0.9,0.6,Group 1
0.9,0.8,Group 2
0.9,1.0,Group 2
1.0,0.5,Group 1
1.0,0.7,Group 1
1.0,0.9,Group 2
